Name: United States, Rank: 0.0002865754813533224
Name: 20th century, Rank: 0.0001299374123170527
Name: 19th century, Rank: 0.0001295362638992425
Name: Telecommunication, Rank: 0.0001260562450661621
Name: World War II, Rank: 0.00012072830065207668
Name: Germany, Rank: 0.00011801587596245253
Name: England, Rank: 0.00011066221922860598
Name: United Kingdom, Rank: 0.00010937747408574038
Name: Europe, Rank: 0.00010388710441779303
Name: Federal Standard 1037C, Rank: 9.5349532647662e-05
Name: United States Constitution, Rank: 8.59782201441077e-05
Name: 18th century, Rank: 7.952956652267788e-05
Name: Africa, Rank: 7.501507401218406e-05
Name: Japan, Rank: 7.063658140045411e-05
Name: Soviet Union, Rank: 6.898075427314357e-05
Name: 1970s, Rank: 6.730046027295072e-05
Name: 1960s, Rank: 6.679410125642147e-05
Name: Canada, Rank: 6.64546744429399e-05
Name: North America, Rank: 6.620234779308718e-05
Name: Italy, Rank: 6.606252544693709e-05
Name: 1990s, Rank: 6.480266448839646e-05
Name: Spain, Rank: 6.445600317346048e-05
Name: Asia, Rank: 6.386387240038581e-05
Name: 1980s, Rank: 6.346817910964092e-05
Name: Australia, Rank: 6.342517295182563e-05
Name: Scotland, Rank: 6.0696362022473925e-05
Name: 21st century, Rank: 6.0533507250544456e-05
Name: 1950s, Rank: 5.977188726698107e-05
Name: Nobel Prize, Rank: 5.85484326285253e-05
Name: 17th century, Rank: 5.851501085814046e-05
Name: Russia, Rank: 5.769339064477236e-05
Name: China, Rank: 5.5562253725874215e-05
Name: Communism, Rank: 5.405342107082167e-05
Name: Christianity, Rank: 5.3689345199395694e-05
Name: 1940s, Rank: 5.358815074629783e-05
Name: Supreme Court of the United States, Rank: 5.354565024145041e-05
Name: 1930s, Rank: 5.3424123224936625e-05
Name: Mathematics, Rank: 5.339635683754523e-05
Name: Sweden, Rank: 5.335102873501142e-05
Name: 16th century, Rank: 5.3014688402139754e-05
Name: Roman Empire, Rank: 5.283249357614088e-05
Name: Radio, Rank: 5.221546526786731e-05
Name: Poland, Rank: 5.196518140668624e-05
Name: World War I, Rank: 5.1649025219031365e-05
Name: English language, Rank: 5.1285272254488865e-05
Name: United States Congress, Rank: 5.1170775501287196e-05
Name: Rome, Rank: 5.111427242208095e-05
Name: Netherlands, Rank: 5.099040985547477e-05
Name: 1920s, Rank: 5.087941012836529e-05
Name: Television, Rank: 5.024837143171309e-05
Name: Year in Review, Rank: 5.020508724384998e-05
Name: Egypt, Rank: 5.011001199642155e-05
Name: Pope, Rank: 4.927490750068173e-05
Name: Great Britain, Rank: 4.911283624134534e-05
Name: Earth, Rank: 4.867628961365763e-05
Name: February, Rank: 4.760439676554455e-05
Name: MIL-STD-188, Rank: 4.7440907130335976e-05
Name: London, Rank: 4.713381294819789e-05
Name: Computer, Rank: 4.6968213288144153e-05
Name: September, Rank: 4.6899388386415056e-05
Name: 1910s, Rank: 4.609493561034323e-05
Name: Thomas Jefferson, Rank: 4.567439553350982e-05
Name: 1890s, Rank: 4.4573080797977495e-05
Name: Periodic table, Rank: 4.440679196598368e-05
Name: February 11, Rank: 4.42344966851794e-05
Name: March, Rank: 4.41365383549106e-05
Name: October, Rank: 4.4016206667487696e-05
Name: Nobel Prize/Physics, Rank: 4.3981140640317214e-05
Name: July, Rank: 4.387519079983981e-05
Name: November, Rank: 4.3779038591009764e-05
Name: August, Rank: 4.376366641734028e-05
Name: January, Rank: 4.3673620985507055e-05
Name: May, Rank: 4.361887240231188e-05
Name: April, Rank: 4.348033677308403e-05
Name: December, Rank: 4.338573037264542e-05
Name: Chemical element, Rank: 4.3362941205842135e-05
Name: June, Rank: 4.3357033378505795e-05
Name: 1880s, Rank: 4.332741236220136e-05
Name: Internet, Rank: 4.2766869373301576e-05
Name: 1985, Rank: 4.198648557566573e-05
Name: United States Secretary of State, Rank: 4.114417247882118e-05
Name: United States of America/Introduction, Rank: 4.093355556757218e-05
Name: 15th century, Rank: 4.086949418275923e-05
Name: 1870s, Rank: 4.0216226187038706e-05
Name: European Union, Rank: 3.9652411893696904e-05
Name: India, Rank: 3.9307665362391893e-05
Name: 1860s, Rank: 3.8670264320746735e-05
Name: Peoples Republic of China, Rank: 3.864023723115772e-05
Name: 2001, Rank: 3.836913894291389e-05
Name: Country code, Rank: 3.824481758240617e-05
Name: Islam, Rank: 3.817683666277754e-05
Name: Greece, Rank: 3.7680248634883866e-05
Name: Real number, Rank: 3.744038064515001e-05
Name: United Nations, Rank: 3.709206935635372e-05
Name: Bible, Rank: 3.6307689792054954e-05
Name: Chemistry, Rank: 3.5756104738019494e-05
Name: 1840s, Rank: 3.567214653780214e-05
Name: Portugal, Rank: 3.5608637555381944e-05
Name: Science fiction, Rank: 3.533595561585838e-05
Name: 1830s, Rank: 3.533465281067254e-05
Name: 1999, Rank: 3.5210612549397215e-05
Name: 1850s, Rank: 3.514635297541858e-05
Name: Ottoman Empire, Rank: 3.496167961818041e-05
Name: God, Rank: 3.472654679664915e-05
Name: 1820s, Rank: 3.4547562837370284e-05
Name: Biology, Rank: 3.433973063408159e-05
Name: Year in Review 19th Century, Rank: 3.412504423004897e-05
Name: Denmark, Rank: 3.410512812943791e-05
Name: Physics, Rank: 3.375346980233288e-05
Name: 14th century, Rank: 3.326189414684116e-05
Name: Film, Rank: 3.3063140325365706e-05
Name: Mark Twain, Rank: 3.2568835715081485e-05
Name: 1945, Rank: 3.243402540459369e-05
Name: 1810s, Rank: 3.230191454970458e-05
Name: 13th century, Rank: 3.211958479427501e-05
Name: South Africa, Rank: 3.2112909758348794e-05
Name: Programming language, Rank: 3.204321719754112e-05
Name: Israel, Rank: 3.1939308636386644e-05
Name: Leap year, Rank: 3.1634719258661916e-05
Name: Capital, Rank: 3.131158124013424e-05
Name: Portugal/History, Rank: 3.06194479158955e-05
Name: Switzerland, Rank: 3.0171973662492936e-05
Name: Austria, Rank: 3.007486061213625e-05
Name: Football, Rank: 2.992931529865019e-05
Name: Norway, Rank: 2.9913268474625655e-05
Name: 1790s, Rank: 2.9887082306578566e-05
Name: Atom, Rank: 2.9835573264701037e-05
Name: Electron, Rank: 2.9814879150686152e-05
Name: Function, Rank: 2.9724094669277922e-05
Name: Iran, Rank: 2.9682268887172864e-05
Name: Mediterranean Sea, Rank: 2.9274853525396625e-05
Name: Integer, Rank: 2.8354636224162685e-05
Name: Frequency, Rank: 2.831342507865548e-05
Name: Island, Rank: 2.82102338642321e-05
Name: Greek mythology, Rank: 2.8168675976335368e-05
Name: Local color, Rank: 2.8018117967511504e-05
Name: Telephone, Rank: 2.758378261022741e-05
Name: Mammal, Rank: 2.7560295373375404e-05
Name: 1780s, Rank: 2.745703215492284e-05
Name: Water, Rank: 2.7387162024758526e-05
Name: Free On-line Dictionary of Computing, Rank: 2.7352861251155525e-05
Name: Data, Rank: 2.731788801826024e-05
Name: 1991, Rank: 2.7144488760958003e-05
Name: NATO, Rank: 2.704249479516416e-05
Name: Wales, Rank: 2.6924408196561362e-05
Name: 1994, Rank: 2.6802613517221186e-05
Name: Pacific Ocean, Rank: 2.6708465608878133e-05
Name: Unix, Rank: 2.6550487863702844e-05
Name: 1998, Rank: 2.6483206605539633e-05
Name: 1990, Rank: 2.6358206787900413e-05
Name: 8th century, Rank: 2.630194023762436e-05
Name: 12th century, Rank: 2.6113832828755936e-05
Name: Sun, Rank: 2.6041900639725034e-05
Name: Taiwan, Rank: 2.5954675771504123e-05
Name: Energy, Rank: 2.5879492743430423e-05
Name: Belgium, Rank: 2.586463225049799e-05
Name: Operating system, Rank: 2.5780145079193668e-05
Name: Greek, Rank: 2.5749155824713633e-05
Name: 1770s, Rank: 2.5720508350244807e-05
Name: 2000, Rank: 2.5638669441493793e-05
Name: Iran/History, Rank: 2.5612742234636598e-05
Name: Roman Republic, Rank: 2.5367564850389572e-05
Name: California, Rank: 2.5137822204560536e-05
Name: 2010s, Rank: 2.495338606880733e-05
Name: Greek language, Rank: 2.495286957222157e-05
Name: Anime, Rank: 2.4933376159205462e-05
Name: Philosophy, Rank: 2.468229785236236e-05
Name: 1948, Rank: 2.4618164439307847e-05
Name: Latin, Rank: 2.45648868075666e-05
Name: Atlantic Ocean, Rank: 2.4526655811387724e-05
Name: Baltic Sea, Rank: 2.447634158485086e-05
Name: 7th century, Rank: 2.442785396069326e-05
Name: 1947, Rank: 2.432915690012634e-05
Name: 1949, Rank: 2.4295372582015174e-05
Name: 1993, Rank: 2.4240626658411755e-05
Name: 1760s, Rank: 2.4146148738348493e-05
Name: 2020s, Rank: 2.4000113881983444e-05
Name: Light, Rank: 2.3978630776180044e-05
Name: 1961, Rank: 2.3957814962977132e-05
Name: Carbon, Rank: 2.3818269414743083e-05
Name: United States/President, Rank: 2.3757835638278517e-05
Name: US, Rank: 2.372095595125955e-05
Name: Music, Rank: 2.3583407905158802e-05
Name: Electromagnetic radiation, Rank: 2.357013219224042e-05
Name: Legislative branch, Rank: 2.3552650936949187e-05
Name: Computer science, Rank: 2.3530718274153077e-05
Name: 1953, Rank: 2.346444729835884e-05
Name: Continent, Rank: 2.3355354351681054e-05
Name: Paris, Rank: 2.3340822644304297e-05
Name: 1989, Rank: 2.3321303359211628e-05
Name: 6th century, Rank: 2.3256136052496684e-05
Name: Rock and roll, Rank: 2.321876602410167e-05
Name: Complex number, Rank: 2.3186772385826326e-05
Name: Protestantism, Rank: 2.2988562183690653e-05
Name: Turkey, Rank: 2.2982766015035085e-05
Name: Science, Rank: 2.2923427185440363e-05
Name: Norse mythology, Rank: 2.275086582167812e-05
Name: Hungary, Rank: 2.2718798595183246e-05
Name: Northern Ireland, Rank: 2.2653433975834223e-05
Name: American Revolutionary War, Rank: 2.255619891775667e-05
Name: 1997, Rank: 2.2547177736906254e-05
Name: English, Rank: 2.2500520011697458e-05
Name: Judaism, Rank: 2.2490615760201566e-05
Name: Moon, Rank: 2.2489162094617267e-05
Name: International Telecommunication Union, Rank: 2.2457633172672088e-05
Name: New Zealand, Rank: 2.238345382045693e-05
Name: 1740s, Rank: 2.2364394461450003e-05
Name: Capitalism, Rank: 2.233962264826264e-05
Name: 1750s, Rank: 2.2292255734095473e-05
Name: 1969, Rank: 2.228317535161976e-05
Name: Economics, Rank: 2.2281044832976553e-05
Name: Monaco, Rank: 2.22773118016039e-05
Name: Information, Rank: 2.2232193597177308e-05
Name: Finland, Rank: 2.2013349406549183e-05
Name: German language, Rank: 2.197533204674987e-05
Name: 1996, Rank: 2.1929646491941754e-05
Name: Year in Review 18th Century, Rank: 2.187517965090112e-05
Name: Chinese calendar, Rank: 2.1731507006056973e-05
Name: Molecule, Rank: 2.1723091758736648e-05
Name: 1st century, Rank: 2.162944215000916e-05
Name: Law, Rank: 2.153466142615174e-05
Name: DNA, Rank: 2.1437046633173317e-05
Name: JapanConstitution, Rank: 2.1328334401499844e-05
Name: French language, Rank: 2.131989005663695e-05
Name: South America, Rank: 2.1303613244885613e-05
Name: 9th century, Rank: 2.1241803670469406e-05
Name: 2nd century, Rank: 2.119071618951484e-05
Name: Marie Curie, Rank: 2.118273342470552e-05
Name: 11th century, Rank: 2.1139896491479795e-05
Name: 1992, Rank: 2.1109587756617506e-05
Name: Natural number, Rank: 2.107814326197314e-05
Name: Religion, Rank: 2.1074310403207656e-05
Name: 1730s, Rank: 2.1059749899978244e-05
Name: Buddhism, Rank: 2.1058010210045456e-05
Name: 2030s, Rank: 2.0961087251487625e-05
Name: Poker, Rank: 2.0925804930466763e-05
Name: 1988, Rank: 2.0846914843324312e-05
Name: History, Rank: 2.084502997526094e-05
Name: Pierre Curie, Rank: 2.0806648169628325e-05
Name: Topology, Rank: 2.068654911010839e-05
Name: Central America, Rank: 2.0650626659080368e-05
Name: 1968, Rank: 2.06494294252415e-05
Name: Proton, Rank: 2.0397903756451232e-05
Name: Japanese language, Rank: 2.039749133205616e-05
Name: 1967, Rank: 2.0252280531652086e-05
Name: 1971, Rank: 2.0167867507750065e-05
Name: Time, Rank: 2.0099789941007584e-05
Name: Protein, Rank: 2.0042438568154865e-05
Name: New Testament, Rank: 2.003735106076507e-05
Name: 1978, Rank: 2.0017878709892347e-05
Name: 10th century, Rank: 1.9917789347280185e-05
Name: 1720s, Rank: 1.9897837001845335e-05
Name: Britain, Rank: 1.9869491721595383e-05
Name: Democracy, Rank: 1.9841313769980262e-05
Name: William Shakespeare, Rank: 1.98344461029353e-05
Name: Year in Review 7th Century, Rank: 1.9774267257797762e-05
Name: Hydrogen, Rank: 1.9721021357209956e-05
Name: Berlin, Rank: 1.9639278758112133e-05
Name: Neutron, Rank: 1.957894332175152e-05
Name: New York City, Rank: 1.9536529547697295e-05
Name: 1960, Rank: 1.9498457320554976e-05
Name: War, Rank: 1.9481386751745333e-05
Name: 1980, Rank: 1.9395283538651416e-05
Name: Monaco/Transnational issues, Rank: 1.9274905857007574e-05
Name: 1986, Rank: 1.914914585379807e-05
Name: American Civil War, Rank: 1.9110169059234844e-05
Name: The Simpsons, Rank: 1.9101439491496393e-05
Name: 1981, Rank: 1.8857961562333598e-05
Name: 1933, Rank: 1.885488262292271e-05
Name: 1918, Rank: 1.881921942036741e-05
Name: 1710s, Rank: 1.8808531064868317e-05
Name: Czech Republic, Rank: 1.8806455025661924e-05
Name: Byzantine Empire, Rank: 1.87571948814557e-05
Name: Constellation, Rank: 1.8756377738537147e-05
Name: Yugoslavia, Rank: 1.862112186117362e-05
Name: 1970, Rank: 1.858705848535379e-05
Name: 1942, Rank: 1.856743357903854e-05
Name: Nuclear weapon, Rank: 1.8345277673990268e-05
Name: Andorra, Rank: 1.8329794693943427e-05
Name: Jews, Rank: 1.8276634553741227e-05
Name: Statistics, Rank: 1.826988100274322e-05
Name: Language, Rank: 1.8244649577826387e-05
Name: 1940, Rank: 1.8233842828854607e-05
